frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm
0,0.0,212.0,1.0,False,7.066666666666666
1,0.0333333333333333,213.5,1.0,False,7.116666666666667
2,0.0666666666666666,212.0,1.0,False,7.066666666666666
3,0.1,212.5,1.0,False,7.083333333333333
4,0.1333333333333333,212.5,1.0,False,7.083333333333333
5,0.1666666666666666,213.5,1.0,False,7.116666666666667
6,0.2,211.5,1.0,False,7.05
7,0.2333333333333333,212.0,1.0,False,7.066666666666666
8,0.2666666666666666,211.5,1.0,False,7.05
9,0.3,212.50000000000003,1.0,False,7.083333333333334
10,0.3333333333333333,247.5,1.0,False,8.25
11,0.3666666666666666,210.5,1.0,False,7.016666666666667
12,0.4,210.5,1.0,False,7.016666666666667
13,0.4333333333333333,212.0,1.0,False,7.066666666666666
14,0.4666666666666667,210.5,1.0,False,7.016666666666667
15,0.5,212.0,1.0,False,7.066666666666666
16,0.5333333333333333,210.0,1.0,False,7.0
17,0.5666666666666667,273.5,1.0,False,9.116666666666667
18,0.6,210.0,1.0,False,7.0
19,0.6333333333333333,210.0,1.0,False,7.0
20,0.6666666666666666,209.5,1.0,False,6.983333333333333
21,0.7,211.5,1.0,False,7.05
22,0.7333333333333333,209.0,1.0,False,6.966666666666667
23,0.7666666666666666,211.0,1.0,False,7.033333333333333
24,0.8,208.5,1.0,False,6.95
25,0.8333333333333334,209.5,1.0,False,6.983333333333333
26,0.8666666666666667,210.5,1.0,False,7.016666666666667
27,0.9,209.0,1.0,False,6.966666666666667
28,0.9333333333333332,211.5,1.0,False,7.05
29,0.9666666666666668,211.0,1.0,False,7.033333333333333
30,1.0,209.0,1.0,False,6.966666666666667
31,1.0333333333333332,209.5,1.0,False,6.983333333333333
32,1.0666666666666669,211.0,1.0,False,7.033333333333333
33,1.1,214.0,1.0,False,7.133333333333333
34,1.1333333333333333,211.5,1.0,False,7.05
35,1.1666666666666667,213.0,1.0,False,7.1
36,1.2,212.0,1.0,False,7.066666666666666
37,1.2333333333333334,213.5,1.0,False,7.116666666666666
38,1.2666666666666666,242.0,1.0,False,8.066666666666666
39,1.3,213.5,1.0,False,7.116666666666667
40,1.3333333333333333,211.0,1.0,False,7.033333333333333
41,1.3666666666666667,212.5,1.0,False,7.083333333333333
42,1.4,212.0,1.0,False,7.066666666666666
43,1.4333333333333331,239.49999999999997,1.0,False,7.9833333333333325
44,1.4666666666666666,212.0,1.0,False,7.066666666666666
45,1.5,211.0,1.0,False,7.033333333333333
46,1.5333333333333332,211.0,1.0,False,7.033333333333333
47,1.5666666666666669,210.5,1.0,False,7.016666666666667
48,1.6,210.5,1.0,False,7.016666666666667
49,1.6333333333333333,214.0,1.0,False,7.133333333333333
50,1.6666666666666667,210.5,1.0,False,7.016666666666667
51,1.7,213.0,1.0,False,7.1
52,1.7333333333333334,213.0,1.0,False,7.1
53,1.7666666666666666,213.5,1.0,False,7.116666666666667
54,1.8,237.0,1.0,False,7.9
55,1.8333333333333333,210.5,1.0,False,7.016666666666667
56,1.8666666666666667,274.5,1.0,False,9.15
57,1.9,212.0,1.0,False,7.066666666666666
58,1.9333333333333331,211.50000000000003,1.0,False,7.050000000000001
59,1.9666666666666663,212.0,1.0,False,7.066666666666666
60,2.0,212.5,1.0,False,7.083333333333333
61,2.033333333333333,209.5,1.0,False,6.983333333333333
62,2.0666666666666664,204.0,0.9861111044883728,False,6.8
63,2.1,211.0,1.0,False,7.033333333333333
64,2.1333333333333333,209.5,1.0,False,6.983333333333333
65,2.1666666666666665,212.5,1.0,False,7.083333333333333
66,2.2,210.5,1.0,False,7.016666666666667
67,2.2333333333333334,212.0,1.0,False,7.066666666666666
68,2.2666666666666666,213.0,1.0,False,7.1
69,2.3,212.0,1.0,False,7.066666666666666
70,2.3333333333333335,210.5,1.0,False,7.016666666666667
71,2.3666666666666667,211.5,1.0,False,7.05
72,2.4,212.0,1.0,False,7.066666666666666
73,2.433333333333333,212.0,1.0,False,7.066666666666666
74,2.466666666666667,212.0,1.0,False,7.066666666666666
75,2.5,210.0,1.0,False,7.0
76,2.533333333333333,212.0,1.0,False,7.066666666666666
77,2.5666666666666664,210.5,1.0,False,7.016666666666667
78,2.6,210.5,1.0,False,7.016666666666667
79,2.6333333333333333,211.0,1.0,False,7.033333333333333
80,2.6666666666666665,211.0,1.0,False,7.033333333333333
81,2.7,211.0,1.0,False,7.033333333333333
82,2.7333333333333334,211.5,1.0,False,7.05
83,2.7666666666666666,212.0,1.0,False,7.066666666666666
84,2.8,272.49999999999994,1.0,False,9.083333333333332
85,2.8333333333333335,211.5,1.0,False,7.05
86,2.8666666666666667,211.5,1.0,False,7.05
87,2.9,210.0,1.0,False,7.0
88,2.933333333333333,210.5,1.0,False,7.016666666666667
89,2.966666666666667,210.5,1.0,False,7.016666666666667
90,3.0,211.0,1.0,False,7.033333333333333
91,3.033333333333333,213.5,1.0,False,7.116666666666666
92,3.0666666666666664,210.5,1.0,False,7.016666666666667
93,3.1,211.5,1.0,False,7.05
94,3.1333333333333333,207.49999999999997,1.0,False,6.916666666666666
95,3.1666666666666665,206.5,1.0,False,6.883333333333333
96,3.2,207.49999999999997,1.0,False,6.916666666666666
97,3.2333333333333334,202.5,1.0,False,6.75
98,3.2666666666666666,201.5,1.0,False,6.716666666666667
99,3.3,198.5,1.0,False,6.616666666666667
100,3.3333333333333335,198.0,1.0,False,6.6
101,3.3666666666666667,196.5,1.0,False,6.55
102,3.4,195.0,1.0,False,6.5
103,3.433333333333333,193.5,1.0,False,6.45
