frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm,flag_reason,is_interpolated
0,0.0,212.0214285714286,1.0,False,7.0673809523809545,,False
1,0.0333333333333333,211.91428571428577,1.0,True,7.063809523809521,MAD_OUTLIER,True
2,0.0666666666666666,212.1285714285714,1.0,False,7.07095238095238,,False
3,0.1,212.28571428571425,1.0,False,7.076190476190475,,False
4,0.1333333333333333,212.97142857142856,1.0,False,7.099047619047618,,False
5,0.1666666666666666,212.68571428571428,1.0,False,7.089523809523809,,False
6,0.2,212.27142857142857,1.0,False,7.075714285714285,,False
7,0.2333333333333333,211.48571428571427,1.0,False,7.049523809523809,,False
8,0.2666666666666666,212.01428571428568,1.0,False,7.067142857142857,,False
9,0.3,212.0285714285714,1.0,False,7.067619047619048,,False
10,0.3333333333333333,211.58571428571426,1.0,True,7.0528571428571425,BIO_BLINK_SPIKE,True
11,0.3666666666666666,210.54285714285714,1.0,False,7.0180952380952375,,False
12,0.4,210.79999999999998,1.0,False,7.0266666666666655,,False
13,0.4333333333333333,211.6142857142857,1.0,False,7.053809523809522,,False
14,0.4666666666666667,212.29999999999998,1.0,True,7.076666666666665,MAD_OUTLIER,True
15,0.5,211.48571428571427,1.0,False,7.049523809523809,,False
16,0.5333333333333333,210.5142857142857,1.0,False,7.017142857142856,,False
17,0.5666666666666667,209.82857142857142,1.0,True,6.994285714285714,BIO_BLINK_SPIKE,True
18,0.6,210.04285714285714,1.0,False,7.001428571428571,,False
19,0.6333333333333333,209.7,1.0,False,6.989999999999999,,False
20,0.6666666666666666,210.35714285714283,1.0,False,7.011904761904761,,False
21,0.7,210.1285714285714,1.0,False,7.004285714285714,,False
22,0.7333333333333333,210.54285714285712,1.0,False,7.0180952380952375,,False
23,0.7666666666666666,209.54285714285712,1.0,False,6.984761904761905,,False
24,0.8,209.48571428571427,1.0,False,6.982857142857142,,False
25,0.8333333333333334,209.4142857142857,1.0,False,6.98047619047619,,False
26,0.8666666666666667,209.72857142857143,1.0,False,6.99095238095238,,False
27,0.9,210.15714285714284,1.0,False,7.005238095238095,,False
28,0.9333333333333332,210.77142857142857,1.0,False,7.025714285714285,,False
29,0.9666666666666668,210.78571428571425,1.0,False,7.026190476190475,,False
30,1.0,209.47142857142856,1.0,False,6.982380952380952,,False
31,1.0333333333333332,209.32857142857142,1.0,False,6.977619047619047,,False
32,1.0666666666666669,211.6428571428571,1.0,False,7.054761904761905,,False
33,1.1,212.58571428571426,1.0,False,7.086190476190475,,False
34,1.1333333333333333,212.87142857142854,1.0,False,7.095714285714285,,False
35,1.1666666666666667,212.01428571428568,1.0,False,7.067142857142857,,False
36,1.2,212.77142857142857,1.0,False,7.092380952380951,,False
37,1.2333333333333334,213.0285714285714,1.0,False,7.10095238095238,,False
38,1.2666666666666666,213.84285714285713,1.0,True,7.128095238095239,MAD_OUTLIER,True
39,1.3,212.7285714285714,1.0,False,7.090952380952381,,False
40,1.3333333333333333,212.07142857142856,1.0,False,7.069047619047619,,False
41,1.3666666666666667,211.77142857142854,1.0,False,7.059047619047618,,False
42,1.4,212.25714285714284,1.0,False,7.075238095238094,,False
43,1.4333333333333331,212.04285714285714,1.0,True,7.068095238095236,MAD_OUTLIER,True
44,1.4666666666666666,211.74285714285713,1.0,False,7.0580952380952375,,False
45,1.5,211.29999999999998,1.0,False,7.043333333333333,,False
46,1.5333333333333332,210.78571428571425,1.0,False,7.026190476190476,,False
47,1.5666666666666669,210.32857142857142,1.0,False,7.01095238095238,,False
48,1.6,211.39999999999998,1.0,False,7.046666666666666,,False
49,1.6333333333333333,213.0142857142857,1.0,False,7.100476190476189,,False
50,1.6666666666666667,213.79999999999998,1.0,True,7.126666666666665,MAD_OUTLIER,True
51,1.7,213.04285714285712,1.0,False,7.1014285714285705,,False
52,1.7333333333333334,213.2142857142857,1.0,False,7.107142857142857,,False
53,1.7666666666666666,213.1142857142857,1.0,False,7.103809523809523,,False
54,1.8,211.97857142857143,1.0,True,7.06595238095238,MAD_OUTLIER,True
55,1.8333333333333333,210.88571428571427,1.0,False,7.029523809523809,,False
56,1.8666666666666667,211.1642857142857,1.0,True,7.0388095238095225,BIO_BLINK_SPIKE,True
57,1.9,211.7,1.0,False,7.056666666666666,,False
58,1.9333333333333331,211.77857142857144,1.0,False,7.059285714285713,,False
59,1.9666666666666663,212.2142857142857,1.0,False,7.073809523809523,,False
60,2.0,211.5785714285714,1.0,False,7.052619047619047,,False
61,2.033333333333333,210.44285714285712,1.0,False,7.014761904761904,,False
62,2.0666666666666664,210.12142857142854,0.9861111044883728,True,7.0040476190476175,MAD_OUTLIER,True
63,2.1,210.2285714285714,1.0,False,7.007619047619047,,False
64,2.1333333333333333,210.8928571428571,1.0,False,7.029761904761904,,False
65,2.1666666666666665,210.95714285714283,1.0,False,7.031904761904761,,False
66,2.2,211.57142857142856,1.0,False,7.052380952380951,,False
67,2.2333333333333334,211.78571428571428,1.0,False,7.059523809523808,,False
68,2.2666666666666666,212.74285714285713,1.0,False,7.091428571428571,,False
69,2.3,211.87142857142857,1.0,False,7.062380952380951,,False
70,2.3333333333333335,211.0142857142857,1.0,False,7.0338095238095235,,False
71,2.3666666666666667,211.24285714285713,1.0,False,7.04142857142857,,False
72,2.4,211.95714285714283,1.0,False,7.065238095238095,,False
73,2.433333333333333,212.2142857142857,1.0,False,7.073809523809523,,False
74,2.466666666666667,211.4642857142857,1.0,False,7.048809523809523,,False
75,2.5,210.55714285714285,1.0,False,7.018571428571428,,False
